state,state_code,grid_id,latitude,longitude,value
Illinois,IL,IL_1,37.62465305556587,-91.68131814632541,93.15744645094361
Illinois,IL,IL_2,44.00297931933319,-90.1865621346557,88.7540190781778
Illinois,IL,IL_3,40.39416437462821,-85.57573298823849,102.34229646630021
Illinois,IL,IL_4,42.7494464330218,-84.15968695331884,99.74758955156771
Illinois,IL,IL_5,35.64070725282315,-90.20974451719508,89.51080528141893
Illinois,IL,IL_6,40.60482321692598,-86.82455457004414,114.464121675515
Illinois,IL,IL_7,36.35851011137373,-88.63151458475463,86.87381136251798
Illinois,IL,IL_8,40.98513128029955,-87.15557842581653,58.70121036326019
Illinois,IL,IL_9,38.54122581940144,-89.81870765787352,81.58419981530449
Illinois,IL,IL_10,41.65264515183349,-97.19136082564192,80.51648523323307
Iowa,IA,IA_1,42.56722314394955,-89.58062906856068,85.95613632502187
Iowa,IA,IA_2,38.405832029162156,-90.00160630737808,79.55915334135788
Iowa,IA,IA_3,38.798327257874114,-93.62089940281867,91.54335946983133
Iowa,IA,IA_4,40.9992858111095,-96.73535267647651,97.51909740850977
Iowa,IA,IA_5,42.25725007630609,-85.75902580868373,87.66484327915057
Iowa,IA,IA_6,40.970307437566774,-89.3955503673605,92.70529156155413
Iowa,IA,IA_7,41.49384676680931,-90.67352379905905,104.28880356451293
Iowa,IA,IA_8,42.19564078520156,-94.4738759238022,102.04259783671766
Iowa,IA,IA_9,39.27607730329866,-86.8513740766004,85.28447092355458
Iowa,IA,IA_10,40.13665093263256,-93.63168936510245,88.41876001236265
Nebraska,NE,NE_1,37.905019889401686,-91.02849282002627,89.05587207846763
Nebraska,NE,NE_2,40.94444098958375,-88.77022744184467,103.83599561122107
Nebraska,NE,NE_3,38.36467551809355,-84.16656064813516,76.09314756057545
Nebraska,NE,NE_4,37.88787400873493,-84.11659420835323,85.53514522767631
Nebraska,NE,NE_5,40.884286109114846,-98.46518155287883,71.10642348738409
Nebraska,NE,NE_6,41.24411965311383,-87.53354878842174,84.3972385144214
Nebraska,NE,NE_7,39.59792852857908,-94.53492353030904,97.63110810990098
Nebraska,NE,NE_8,43.20587764351996,-87.41357511624054,85.6301000806276
Nebraska,NE,NE_9,40.76878311374028,-82.00498045423471,83.85485072601837
Nebraska,NE,NE_10,42.060354991381786,-89.34180967468805,81.98271739440183
Minnesota,MN,MN_1,39.786585594920695,-94.41057467732,83.43934900062993
Minnesota,MN,MN_2,39.46294952436003,-85.18951615047324,86.5277250223583
Minnesota,MN,MN_3,42.764722538315475,-92.5396049738248,86.04768866144339
Minnesota,MN,MN_4,38.61942123426658,-90.10576446272829,78.92503364593088
Minnesota,MN,MN_5,38.147308724562315,-86.31975023987033,92.69591839013455
Minnesota,MN,MN_6,40.29764775619415,-85.24179277038081,100.14931312814382
Minnesota,MN,MN_7,41.710371868582634,-93.25366987091208,90.06342437321669
Minnesota,MN,MN_8,36.59994081138227,-90.94854320753961,97.30445001578978
Minnesota,MN,MN_9,38.815853394854024,-94.37555622473212,82.23887598965419
Minnesota,MN,MN_10,39.01656074690766,-90.35575805372716,89.72386091189621
Indiana,IN,IN_1,39.626764366232834,-94.96022843272578,89.52269038276927
Indiana,IN,IN_2,36.60682943745504,-80.38199477965779,98.6340660465665
Indiana,IN,IN_3,40.390534631145854,-90.33702886239291,109.19373745258386
Indiana,IN,IN_4,39.77001250370607,-107.81527580362237,109.62982287876316
Indiana,IN,IN_5,40.93427753043453,-92.52178763747891,73.52560368230921
Indiana,IN,IN_6,41.45737020162174,-88.8442189284639,100.66469132799233
Indiana,IN,IN_7,38.574259471412155,-98.82656787189866,63.71129539893832
Indiana,IN,IN_8,39.271510286843125,-92.7644772794915,95.31998891285274
Indiana,IN,IN_9,40.0922941593931,-92.80548639830258,80.32334228417471
Indiana,IN,IN_10,38.989219134354265,-90.00683842154054,90.8913594947854
